id,created_at,updated_at,size,language,has_wiki,license,is_template,num_ms,num_sup_comp,num_total_comp,is_fork,num_forks,num_watchers,is_archived,lan_Java,lan_JavaScript,lan_Python,lan_C#,lan_Ruby,lan_TypeScript,lan_Go,lan_C++,lan_Scala,lan_PHP,lan_Blade,lan_Groovy,lan_Perl,lan_Rust,lan_Kotlin,lan_Erlang,lan_Swift,lan_C,lan_Lua,lan_Crystal,lan_Dart,lan_Hack,lan_R,lan_Ballerina,tech_Prometheus,tech_MongoDB,tech_MySQL,tech_OracleDB,tech_SnowflakeDB,tech_PostgreSQL,tech_MsSQL,tech_Redis,tech_Cassandra,tech_MariaDB,tech_Database,tech_MinIO,tech_React,tech_NextJS,tech_Svelte,tech_SvelteKit,tech_VueJS,tech_Nuxt,tech_AngularJS,tech_AnalogJS,tech_Jaeger,tech_Zipkin,tech_OpenTelemetry,tech_Logstash,tech_Filebeat,tech_ElasticSearch,tech_Kafka,tech_RabbitMQ,tech_Nats,tech_Dapr,tech_Consul,tech_Istio,tech_nginx,tech_Zuul,tech_Kong,tech_Envoy,tech_Traefik,tech_Ocelot,tech_Zookeeper,tech_Hystrix,tech_Kiali,tech_Grafana,tech_Kibana,tech_Akhq,tech_Portainer,tech_Keycloak,tech_Vault,tech_Eureka,tech_Locust,tech_K6,tech_JMeter,docker,compose,kubernetes,has_OtherLang,has_Gateway,has_MessageQueue,has_Auth,has_BenchmarkTooling,has_Datastorage,has_Observability,has_Frontend,has_Communication,has_OtherTech
717215929,2023-11-10 20:38:44+00:00,2024-07-20 15:33:08+00:00,18,Python,True,,False,1,1,2,False,15,7,False,0.0,0.0,79.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0
592538084,2023-01-23 23:54:02+00:00,2024-12-21 11:41:04+00:00,4101,Java,True,"{'key': 'other', 'name': 'Other', 'url': None, 'spdx_id': 'NOASSERTION', 'node_id': 'MDc6TGljZW5zZTA='}",False,3,8,11,False,6,10,False,68.46,9.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,0,7,0,0,0,0,0,12,0,0,1,True,True,False,0,1,0,0,1,1,4,0,0,1
238042179,2020-02-03 19:17:34+00:00,2024-02-01 10:32:45+00:00,48932,Java,True,"{'key': 'apache-2.0', 'name': 'Apache License 2.0', 'url': 'https://api.github.com/licenses/apache-2.0', 'spdx_id': 'Apache-2.0', 'node_id': 'MDc6TGljZW5zZTI='}",False,4,1,5,False,97,59,False,39.22,31.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,15,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,True,False,True,0,0,0,0,0,3,2,1,1,0
566373115,2022-11-15 14:38:52+00:00,2024-10-14 21:45:24+00:00,79,Go,True,,False,1,2,3,False,4,15,False,0.0,0.0,0.0,0.0,0.0,0.0,95.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,0,0,1,0,0,1,0,0,0,0
264889579,2020-05-18 09:21:06+00:00,2020-07-23 18:34:56+00:00,102001,C#,True,,False,5,0,5,False,6,0,False,0.0,2.31,0.0,35.74,0.0,29.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0
423322149,2021-11-01 03:11:08+00:00,2024-02-26 09:08:59+00:00,84,TypeScript,True,,False,2,0,2,False,9,28,False,0.0,19.33,0.0,0.0,0.0,80.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,4,0,0
637808165,2023-05-08 13:00:58+00:00,2025-01-08 13:59:52+00:00,346,Java,True,,False,6,8,14,False,4,23,False,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,8,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,5,0,0,0,False,True,False,0,0,1,1,0,3,3,0,0,1
250650820,2020-03-27 21:23:54+00:00,2020-11-25 18:06:28+00:00,11959,HTML,True,"{'key': 'mit', 'name': 'MIT License', 'url': 'https://api.github.com/licenses/mit', 'spdx_id': 'MIT', 'node_id': 'MDc6TGljZW5zZTEz'}",False,5,2,7,False,6,1,False,10.92,23.439999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,False,0,1,0,0,0,3,0,1,0,0
221186537,2019-11-12 10:05:05+00:00,2023-10-06 04:46:17+00:00,1830,JavaScript,True,,False,4,0,4,False,11,19,False,0.0,66.24,0.0,0.0,0.0,0.0,18.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,True,0,1,0,0,0,0,0,1,0,0
238641172,2020-02-06 08:28:50+00:00,2024-11-01 09:43:50+00:00,152,Java,True,,False,3,2,5,False,10,7,False,55.57,16.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,26,0,0,0,False,False,False,0,0,0,0,0,0,1,0,0,1
